black_search_depth,white_search_depth,black_win,white_win,draw,running_time(s)
1.0,1.0,6.0,4.0,0.0,0.24786686897277832
1.0,2.0,0.0,10.0,0.0,0.9481258392333984
1.0,3.0,0.0,10.0,0.0,5.28046178817749
1.0,4.0,0.0,10.0,0.0,28.656417846679688
1.0,5.0,0.0,10.0,0.0,206.23414611816406
2.0,1.0,10.0,0.0,0.0,0.9404070377349854
2.0,2.0,3.0,5.0,2.0,5.4206647872924805
2.0,3.0,2.0,8.0,0.0,10.629054069519043
2.0,4.0,0.0,9.0,1.0,69.40828800201416
2.0,5.0,0.0,9.0,1.0,412.3175277709961
3.0,1.0,10.0,0.0,0.0,4.5415358543396
3.0,2.0,8.0,1.0,1.0,12.809876918792725
3.0,3.0,4.0,6.0,0.0,10.22104001045227
3.0,4.0,1.0,7.0,2.0,210.72681212425232
3.0,5.0,1.0,8.0,1.0,492.5354619026184
4.0,1.0,10.0,0.0,0.0,27.075493097305298
4.0,2.0,8.0,2.0,0.0,280.8552460670471
4.0,3.0,7.0,2.0,1.0,130.5909869670868
4.0,4.0,3.0,7.0,0.0,301.257128238678
4.0,5.0,1.0,9.0,0.0,1218.8443088531494
5.0,1.0,10.0,0.0,0.0,797.3399538993835
5.0,2.0,9.0,0.0,1.0,1077.0894439220428
5.0,3.0,9.0,1.0,0.0,1881.1194269657135
5.0,4.0,6.0,2.0,2.0,3197.318526983261
5.0,5.0,8.0,2.0,0.0,1984.9259099960327
